大类/ Main Category,中类NO.,中类,小类NO.,小类名称,类型代码（新）
,,,1,三级甲等医院,90101
,,,2,卫生院,90102
,2,专科医院,0,其它专科医院,90200
,,,1,整形美容,90201
,,,2,口腔医院,90202
,,,3,眼科医院,90203
,,,4,耳鼻喉医院,90204
,,,5,胸科医院,90205
,,,6,骨科医院,90206
,,,7,肿瘤医院,90207
,,,8,脑科医院,90208
,,,9,妇科医院,90209
,,,10,精神病医院,90210
,,,11,传染病医院,90211
,3,诊所,0,诊所,90300
,4,急救中心,0,急救中心,90400
,5,疾病预防机构,0,疾病预防,90500
,6,医药保健销售店,0,医药保健相关,90600
,,,1,药房,90601
,,,2,医疗保健用品,90602
,7,动物医疗场所,0,动物医疗场所,90700
,,,1,宠物诊所,90701
,,,2,兽医站,90702
10 住宿服务 / Lodging,0,住宿服务相关,0,住宿服务相关,100000
,1,宾馆酒店,0,宾馆酒店,100100
,,,1,六星级宾馆,100101
,,,2,五星级宾馆,100102
,,,3,四星级宾馆,100103
,,,4,三星级宾馆,100104
,,,5,经济型连锁酒店,100105
,2,旅馆招待所,0,旅馆招待所,100200
,,,1,青年旅社,100201
11 风景名胜/ Tourist Attraction,0,风景名胜相关,0,旅游景点,110000
,1,公园广场,0,公园广场,110100
,,,1,公园,110101
,,,2,动物园,110102
,,,3,植物园,110103
,,,4,水族馆,110104
,,,5,城市广场,110105
,2,风景名胜,0,风景名胜,110200
,,,1,世界遗产,110201
,,,2,国家级景点,110202
,,,3,省级景点,110203
,,,4,纪念馆,110204
,,,5,寺庙道观,110205
,,,6,教堂,110206
,,,7,回教寺,110207
,,,8,海滩,110208
12 商务住宅/ Real Estate,0,商务住宅相关,0,商务住宅相关,120000
,1,产业园区,0,产业园区,120100
,2,楼宇,0,楼宇相关,120200
,,,1,商务写字楼,120201
,,,2,工业大厦建筑物,120202
,,,3,商住两用楼宇,120203
,3,住宅区,0,其它住宅区,120300
,,,1,别墅,120301
,,,2,住宅小区,120302
,,,3,宿舍,120303
,,,4,社区中心,120304
13 政府机构及社会团体/ Government & Non-Government Organisation,0,政府及社会团体相关,0,政府及社会团体相关,130000
,1,政府机关,0,政府机关相关,130100
,,,1,国家级机关及事业单位,130101
,,,2,省直辖市级政府及事业单位,130102
,,,3,地市级政府及事业单位,130103
,,,4,区县级政府及事业单位,130104
,,,5,乡镇级政府及事业单位,130105
,,,6,乡镇以下级政府及事业单位,130106
,,,7,外地政府办,130107
,2,外国机构,0,外国机构相关,130200
,,,1,外国使领馆,130201
,,,2,国际组织办事处,130202
,3,民主党派,0,民主党派,130300
,4,社会团体,0,社会团体相关,130400
,,,1,共青团,130401
,,,2,少先队,130402
,,,3,妇联,130403
,,,4,残联,130404
,,,5,红十字会,130405
,,,6,消费者协会,130406
,,,7,行业协会,130407
,5,公检法机构,0,公检法机关,130500
,,,1,公安警察,130501
,,,2,检察院,130502
,,,3,法院,130503
,,,4,消防机关,130504
,,,5,公证鉴定机构,130505
,,,6,社会治安机构,130506
,6,交通车辆管理,0,交通车辆管理相关,130600
,,,1,交通管理机构,130601
,,,2,车辆管理机构,130602
,,,3,验车场,130603
,,,4,交通执法站,130604
,7,工商税务机构,0,工商税务机构,130700
,,,1,工商部门,130701
,,,2,国税机关,130702
,,,3,地税机关,130703
14 科教文化服务/ Culture & Education,0,科教文化场所,0,科教文化场所,140000
,1,博物馆,0,博物馆,140100
,,,1,AUDI博物馆,140101
,,,2,奔驰博物馆,140102
,2,展览馆,0,展览馆,140200
,3,会展中心,0,会展中心,140300
,4,美术馆,0,美术馆,140400
,5,图书馆,0,图书馆,140500
,6,科技馆,0,科技馆,140600
,7,天文馆,0,天文馆,140700
,8,文化宫,0,文化宫,140800
,9,档案馆,0,档案馆,140900
,10,文艺团体,0,文艺团体,141000
,11,传媒机构,0,其它传媒机构,141100
,,,1,电视台,141101
,,,2,电台,141102
,,,3,报社,141103
,,,4,杂志社,141104
,,,5,出版社,141105
,12,学校,0,其他学校,141200
,,,1,高等院校,141201
,,,2,中学,141202
,,,3,小学,141203
,,,4,幼儿园,141204
,,,5,成人教育,141205
,,,6,职业技术学校,141206
,13,科研机构,0,科研机构,141300
,14,培训机构,0,培训机构,141400
,15,驾校,0,驾校,141500
15 交通设施服务/ Transportation,0,交通服务相关,0,交通服务相关,150000
,1,飞机场,0,飞机场,150100
,2,火车站,0,火车站,150200
,3,港口码头,0,港口码头,150300
,,,1,客运港,150301
,,,2,车渡口,150302
,,,3,人渡口,150303
,4,长途汽车站,0,长途汽车站,150400
,5,地铁站,0,地铁站,150500
,6,轻轨站,0,轻轨站,150600
,7,公交车站,0,公交车站相关,150700
,,,1,旅游专线车站,150701
,,,2,普通公交站,150702
,8,班车站,0,班车站,150800
,9,停车场,0,停车场相关,150900
,,,1,室内停车场,150901
,,,2,室外停车场,150902
,,,3,停车换乘点,150903
,10,过境口岸,0,过境口岸,151000
16 金融保险服务/ Finance & Insurance,0,金融保险服务机构,0,金融保险机构,160000
,1,银行,0,其它银行,160100
,,,1,中国人民银行,160101
,,,2,国家开发银行,160102
,,,3,中国进出口银行,160103
,,,4,中国银行,160104
,,,5,中国工商银行,160105
,,,6,中国建设银行,160106
,,,7,中国农业银行,160107
,,,8,交通银行,160108
,,,9,招商银行,160109
,,,10,华夏银行,160110
,,,11,中信银行,160111
,,,12,中国民生银行,160112
,,,13,中国光大银行,160113
,,,14,上海银行,160114
,,,15,上海浦东发展银行,160115
,,,16,深圳发展银行,160116
,,,17,深圳市商业银行,160117
,,,18,兴业银行,160118
,,,19,北京银行,160119
,,,20,广东发展银行,160120
,,,21,中国信合,160121
,,,22,香港恒生银行,160122
,,,23,东亚银行,160123
,,,24,美国花旗银行,160124
,,,25,渣打银行,160125
,,,26,汇丰银行,160126
,,,27,荷兰银行,160127
,,,28,美国运通银行,160128
,,,29,瑞士友邦银行,160129
,,,30,美国银行,160130
,,,31,蒙特利尔银行,160131
,,,32,纽约银行,160132
,,,33,苏格兰皇家银行,160133
,,,34,法国兴业银行,160134
,,,35,德意志银行,160135
,,,36,日本三菱东京日联银行,160136
,,,37,巴克莱银行,160137
,,,38,摩根大通银行,160138
,,,39,中国邮政储蓄,160139
,2,银行相关,0,银行相关,160200
,3,自动提款机,0,其它自动提款机,160300
,,,1,中国银行ATM,160301
,,,2,中国工商银行ATM,160302
,,,3,中国建设银行ATM,160303
,,,4,中国农业银行ATM,160304
,,,5,交通银行ATM,160305
,,,6,招商银行ATM,160306
,,,7,华夏银行ATM,160307
,,,8,中信银行ATM,160308
,,,9,中国民生银行ATM,160309
,,,10,中国光大银行ATM,160310
,,,11,上海银行ATM,160311
,,,12,上海浦东发展银行ATM,160312
,,,13,深圳发展银行ATM,160313
,,,14,深圳市商业银行ATM,160314
,,,15,兴业银行ATM,160315
,,,16,北京银行ATM,160316
,,,17,广东发展银行ATM,160317
,,,18,中国信合ATM,160318
,,,19,香港恒生银行ATM,160319
,,,20,东亚银行ATM,160320
,,,21,美国花旗银行ATM,160321
,,,22,渣打银行ATM,160322
,,,23,汇丰银行ATM,160323
,,,24,荷兰银行ATM,160324
,,,25,美国运通银行ATM,160325
,,,26,瑞士友邦银行ATM,160326
,,,27,美国银行ATM,160327
,,,28,蒙特利尔银行ATM,160328
,,,29,纽约银行ATM,160329
,,,30,苏格兰皇家银行ATM,160330
,,,31,法国兴业银行ATM,160331
,,,32,德意志银行ATM,160332
,,,33,日本三菱东京日联银行ATM,160333
,,,34,巴克莱银行ATM,160334
,,,35,摩根大通银行ATM,160335
,,,36,中国邮政储蓄ATM,160336
,4,保险公司,0,其它保险公司,160400
,,,1,中国人民保险公司,160401
,,,2,中国人寿保险公司,160402
,,,3,中国平安保险公司,160403
,,,4,中国再保险公司,160404
,,,5,中国太平洋保险,160405
,,,6,新华人寿保险公司,160406
,,,7,华泰财产保险股份有限公司,160407
,,,8,泰康人寿保险公司,160408
,5,证券公司,0,证券公司,160500
,,,1,证券营业厅,160501
17 公司企业/ Company & factory,0,公司企业,0,公司企业,170000
,1,知名企业,0,知名企业,170100
,2,公司,0,其它公司,170200
,,,1,广告装饰,170201
,,,2,建筑公司,170202
,,,3,医药公司,170203
,,,4,机械电子,170204
,,,5,冶金化工,170205
,,,6,网络科技,170206
,,,7,商业贸易,170207
,,,8,电信公司,170208
,,,9,矿产公司,170209
,3,工厂,0,工厂,170300
,4,农林牧渔基地,0,其它农林牧渔基地,170400
,,,1,渔场,170401
,,,2,农场,170402
,,,3,林场,170403
,,,4,牧场,170404
,,,5,家禽养殖基地,170405
,,,6,蔬菜基地,170406
,,,7,水果基地,170407
,,,8,花卉苗圃基地,170408
18 道路附属设施/ Road Furniture,0,道路附属设施,0,道路附属设施,180000
,1,警示信息,0,其它警示信息,180100
,,,1,摄像头,180101
,,,2,测速设施,180102
,,,3,铁路道口,180103
,2,收费站,0,其它收费站,180200
,,,1,高速收费站,180201
,,,2,国省道收费站,180202
,,,3,桥洞收费站,180203
,3,服务区,0,其它服务区,180300
,,,1,高速服务区（SA）,180301
,,,2,高速停车区(PA),180302
,4,红绿灯,0,红绿灯,180400
,5,路牌信息,0,路牌信息,180500
19 地名地址信息/ Named Place & Address,0,地名地址信息,0,地名地址信息,190000
,1,行政地名,0,其它行政地名,190100
,,,1,国家名,190101
,,,2,省级地名,190102
,,,3,直辖市级地名,190103
,,,4,地市级地名,190104
,,,5,区县级地名,190105
,,,6,乡镇级地名,190106
,,,7,街道级地名,190107
,,,8,村庄级地名,190108
,,,9,村组级地名,190109
,2,自然地名,0,其它自然地名,190200
,,,1,海湾海峡,190201
,,,2,岛屿,190202
,,,3,山,190203
,,,4,河流,190204
,,,5,湖泊,190205
,3,交通地名,0,其它交通地名,190300
,,,1,道路名,190301
,,,2,路口名,190302
,,,3,环岛名,190303
,,,4,高速路出口,190304
,,,5,高速路入口,190305
,,,6,立交桥,190306
,,,7,桥,190307
,4,门牌信息,0,其它门牌信息,190400
,,,1,地名门牌,190401
,,,2,道路门牌,190402
,,,3,小区门牌,190403
,5,市中心,0,城市中心,190500
20 公共设施 / Public Service,0,公共设施,0,公共设施,200000
,1,报刊亭,0,报刊亭,200100
,2,公用电话,0,公用电话,200200
,3,公共厕所,0,公共厕所,200300
,4,紧急避难场所,0,紧急避难场所,200400
